**WIDGET**, **DESCRIPTION** , **Figure**
**App management**,**App related operations.**,**1**
Parameters,App parameters.,1
Dependencies,Specify the paths to external software.,1a
Report,Send a bug report.,1b
Cite,Authoring information and references.,1c
Info,Licensing information.,1d
**BIDS management**,**Active BIDS database management.**,**2**
Home,Path to the active BIDS database.,2a
Browse,Specify the active BIDS database.,2b
Refresh,Refresh the step table.,2c
**Pipeline management**,**Granular step management.**,**3; 4; 5; 6**
Subject list,List of subjects in the active BIDS database.,3a
Step table,Table of statuses for each step and subject.,3b
**Toolbar**,**Quick step selection toolbar.**,**4**
Clear,Clear active step selection.,4a
Vertical ,Toggle vertical selection mode.,4b
Horizontal ,Toggle horizontal selection mode.,4c
**Tools**,**Step-specific tools.**,**5**
Time series,Visualize time series with AnyWave (4.1).,5a
CCEP,Visualize CCEP in 3D with HiBoP (4.2).,5b
Features,Extract CCEP features in tables (4.3).,5c
**Actions**,**Actions to perform on any step.**,**6**
Open,Open the step directory in the OS file browser.,6a
Details,See detailed information (2.2).,6b
Process,Process the data (2.3).,6c
